"id","pop","loc","city","X_id","state"
"82",2200,"[ -73.322263 , 42.30104]","STOCKBRIDGE",1262,"MA"
"83",1173,"[ -73.38251 , 42.334752]","WEST STOCKBRIDGE",1266,"MA"
"84",8220,"[ -73.20364 , 42.708883]","WILLIAMSTOWN",1267,"MA"
"85",770,"[ -73.04661 , 42.509494]","WINDSOR",1270,"MA"
"86",18968,"[ -72.601847 , 42.601222]","LEYDEN",1301,"MA"
"87",1535,"[ -72.810998 , 42.523207]","ASHFIELD",1330,"MA"
"88",14077,"[ -72.214644 , 42.592065]","NEW SALEM",1331,"MA"
"89",2426,"[ -72.563439 , 42.683784]","LEYDEN",1337,"MA"
"90",16,"[ -72.764124 , 42.615174]","BUCKLAND",1338,"MA"
"91",1325,"[ -72.880162 , 42.621802]","HAWLEY",1339,"MA"
"92",2050,"[ -72.726508 , 42.67905]","COLRAIN",1340,"MA"
"93",1524,"[ -72.702473 , 42.513832]","CONWAY",1341,"MA"
"94",1281,"[ -72.607234 , 42.540636]","DEERFIELD",1342,"MA"
"95",635,"[ -72.416638 , 42.604957]","ERVING",1344,"MA"
"96",174,"[ -72.839101 , 42.685347]","HEATH",1346,"MA"
"97",1893,"[ -72.494626 , 42.576206]","MILLERS FALLS",1349,"MA"
"98",97,"[ -72.960156 , 42.723885]","MONROE",1350,"MA"
"99",1699,"[ -72.532837 , 42.542864]","MONTAGUE",1351,"MA"
"100",456,"[ -72.306241 , 42.514643]","NEW SALEM",1355,"MA"
"101",2829,"[ -72.450995 , 42.688705]","NORTHFIELD",1360,"MA"
"102",8544,"[ -72.305867 , 42.591231]","NEW SALEM",1364,"MA"
"103",1131,"[ -72.189349 , 42.489761]","PETERSHAM",1366,"MA"
"104",630,"[ -72.925776 , 42.695289]","ROWE",1367,"MA"
"105",4525,"[ -72.739059 , 42.602203]","SHELBURNE FALLS",1370,"MA"
"106",5118,"[ -72.615268 , 42.475616]","SOUTH DEERFIELD",1373,"MA"
"107",3399,"[ -72.567569 , 42.453947]","SUNDERLAND",1375,"MA"
"108",7100,"[ -72.54701 , 42.606521]","TURNERS FALLS",1376,"MA"
"109",393,"[ -72.400851 , 42.565644]","WENDELL",1379,"MA"
"110",41194,"[ -71.803133 , 42.579563]","FITCHBURG",1420,"MA"
"111",5433,"[ -71.92666 , 42.649614]","ASHBURNHAM",1430,"MA"
"112",2649,"[ -71.817369 , 42.674462]","ASHBY",1431,"MA"
"113",6871,"[ -71.578763 , 42.55914]","AYER",1432,"MA"
"114",8480,"[ -71.621819 , 42.532416]","FT DEVENS",1433,"MA"
"115",4386,"[ -72.064647 , 42.593568]","BALDWINVILLE",1436,"MA"
"116",20125,"[ -71.9898 , 42.57405]","GARDNER",1440,"MA"
"117",7504,"[ -71.558371 , 42.612351]","GROTON",1450,"MA"
"118",4445,"[ -71.575293 , 42.498565]","HARVARD",1451,"MA"
"119",2797,"[ -72.001159 , 42.486538]","HUBBARDSTON",1452,"MA"
"120",38145,"[ -71.756308 , 42.52744]","LEOMINSTER",1453,"MA"
"121",7066,"[ -71.487667 , 42.540132]","LITTLETON",1460,"MA"
"122",9117,"[ -71.726642 , 42.58843]","LUNENBURG",1462,"MA"
"123",10178,"[ -71.593392 , 42.668888]","PEPPERELL",1463,"MA"
